,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
1,,晚饭后，老爸突然说起来一件事,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
2,老爸,暑假要不要考虑去你妈老家看看，你应该还没去过吧。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
3,月,……,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
4,,我没有做声，只是点了点头默许。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
5,,于是老爸连夜整理好了行李，第二天吃过早饭后就拉着我出发。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
6,,看着窗外的景色由城市的高楼大厦，变成低矮平房，最后被自然景色所取代，我感到有几分新奇。打记事起就生活在大城市里的我哪里见过这番景象，学校里组织的郊游也不过是去一些公园罢了，哪里见过这番景色。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
7,,汽车飞驰在路上，将一切都抛在后方。望着窗外渐渐模糊的景色，我靠在座椅上进入了梦乡。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
8,老爸,到了，快起来。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
9,月,嗯？……,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
10,,老爸打开车门，用力扯了扯我的衣领，而我还沉浸在睡梦中，享受着梦中的美好事物。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
11,,我揉了揉惺忪的睡眼，有些迷糊地走下车。,,,,/Game/Assets/Background/Generated4K/01_memoriesoff1_fix_v2.01_memoriesoff1_fix_v2,,
12,,这时已是晚上，天空中布满繁星，挂着明月。小院中两位老人躺在藤椅上，用手中的蒲扇扇着风，感受着自然的气息。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
13,,估摸着时间，我感觉自己喜欢的动画片快播放了，便在老爸的介绍下草草打了招呼后就冲向屋内。推开卧室那扇有些陈旧的门，我才发现里面已经有了一个穿着小裙子的女孩。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
14,,我有些拘谨地招了招手，对方也学着我回礼，然后稍微挪了一下身子，为我腾出一片空位。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
15,,我们就这样并肩坐着。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
16,,阵阵蝉鸣，是仲夏的歌声；点点萤火，是夏夜的明灯。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
17,,偶尔会有晚风从窗外吹进，带来了花与草的芬芳。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
18,,电视并没有像我想的那样有动画片播放，取而代之的只有雪花般的白点在不断闪烁。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
19,,在一阵沉默过后，她开口了：,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
20,？？？,那个……,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
