,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,对这个物体进行受力分析……,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
2,老师,月！你来谈谈这题的思路,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
3,,在突然间被老师点名后，我感到一阵惊慌，立马收起手机。,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
4,,老实说，这题并不算难，我支支吾吾拖了会儿时间后，便给出了解题思路。,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
5,,说起来，你刚刚低着头在干嘛,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
6,老师,……,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
7,同桌,老师，月刚刚在看小说！,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
8,,我的同桌，也是我唯一交流较多的一个同学忽的站起来，从抽屉掏出一本小说。,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
9,同桌,下不为例！,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
10,,"接着我便老师被冠以""上课看小说""的罪名，收走了我的小说。",,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
11,老师,说起来，那女孩儿是谁啊,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
12,,同桌侧过身，单手撑起头。,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
13,同桌,什么女孩，我玩儿游戏,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
14,,什么游戏的人物做的这么精致？,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
15,,植物大战僵尸,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
16,,你家植物大战僵尸只有一张图片？,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
17,,是外校的？,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
18,,植物大战僵尸,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
19,,穿着碎花小裙，扎着一头马尾，看上去很安静，有文艺气息。,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
20,,……,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
21,,感觉是你喜欢的类型,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
22,,西瓜投手罢了,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
23,,……算了,,,/Game/Assets/Background/Generated4K/08_memoriesoff1_fix_v2.08_memoriesoff1_fix_v2,,
24,,说起来，这周我们好像会搞运动会,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
25,,真的？,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
26,,和周末连起来有五天呢，爽玩,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
27,,我有点头晕,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
28,老爸,哈？,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
29,,我问过老爸，他接下来半个月都要出差，也就是说这半个月都是我一个人独自在家。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
30,,我跑向医务室，做出一副得了不治之症的样子，最终让校医给我开了一张受伤证明，让我可以不用去参加运动会。 然后我再向老师们申请在家休息疗伤。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
31,,"看着我成绩名列前茅的份上老师们也只是对我叮嘱了几句""回家了要好好学习""这类话就放我走了。",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
32,,放学后，我背着书包，回到了只有我的家中。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
33,,"""晚上好，妈妈。""对着相框里的照片，我轻声问好。",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
34,,掏出过年攒的一些压岁钱，再加上老爸留给我的生活费，我估摸着费用应该是够了。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
35,,早知道会有这么一天，压岁钱我就应该省着点花。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
36,,打开电脑，我熬夜做着行程规划。第一次出远门做规划，是为了见那个自己爱的人。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
37,,天空中飘起小雨，城市有一种朦胧的美，但我更希望这是晴天。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
38,,我从拥挤的早班车上下来，踏上了去寻找岚的列车。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
39,,呼啸而过的列车穿过河流，冲破隧道，将群山田野都甩在身后。再快的列车，也冲不散我的思念。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
40,,走出车站时，已是日暮时分。我买了一张中巴车的票，继续带着思念出发。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
41,,坐在老旧的候车室里，我盯着手机。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
42,,岚仍和之前那样发来如同报告一样的短信。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
43,,同学们则发了一堆学校运动会的空间，,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
44,,只可惜我现在在逃课。,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
45,,如果我说我自己跑了这么远去见一个人，他们肯定不会相信。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
46,,坐上中巴车，我插上耳机来抵御周围的噪音。清晨时分的雨已经停了，我望着窗外的天空——一块漆黑的布。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
47,,今天下雨了，但是现在停了,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
48,,我这边也是,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
49,,周末我想四处看看,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
50,,行,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
51,,我种的花开了，就在旧学校里,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
52,,那我得好好看看,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
53,,……,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
54,,渐渐地，音乐充斥了我的大脑，我在有些颠簸的车中睡去。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
55,,今日无月，亦无繁星，有的只是我的思念。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
56,,晚上十点，我走下中巴车。望着一片漆黑，我竟有些不知所措。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
57,,50块,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
58,,怎么不去抢,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
59,司机,爱他妈走不走,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
60,,我和路边的司机争执着去岚的小镇的费用，但由于太过于黑心，我最终没有向他妥协。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
61,,外面刚下过雨，空气中透露着一丝寒意。我坐在路边，有些不知所措。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
62,,忽的我眼前一亮，一辆没上锁的破旧自行车出现在我眼前。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
63,,我张望了一下四周，见附近没有人后仿佛抓住了救命稻草一般地起上自行车。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
64,,凭借着模糊的记忆，我踏着自行车向黑暗中驶去。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
65,,我打开手机，发现已是夜里三点。期间我骑一会儿歇一会儿，还要努力回忆那条迷糊的路，一路走走停停，终于来到这个熟悉的小镇。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
66,,我估摸着岚现在还在睡觉，便不忍心打扰她。于是选择去了最近的一家网吧度过剩下的几个小时。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
67,,烟味，酒味，槟榔味；,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
68,,喊声，骂声，叫唤声。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
69,,在这样的环境中，我的意识逐渐远去。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
70,,终于熬到了第二天早晨，我走出网吧，伸了一个懒腰。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
71,,难以克制地，我拨通了岚的电话，几秒后电话那头响起了熟悉的声音。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
72,,早上好……,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
73,,月，你到哪儿了！我来找你,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
74,,xx网吧旁边的餐馆里,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
75,,长途奔波的疲惫感袭来，使我一头载到在桌子上。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
76,,我仿佛听见歌谣的声音，又仿佛看见少女坐在我的身旁。,,,/Game/Assets/Background/Generated4K/10_memoriesoff1_fix_v2.10_memoriesoff1_fix_v2,,
