,Name,Dialog,CurrentSprite,Face,Conversational voice,BackgroundSound,Background
1,,晚饭后，老爸突然说起来一件事,,,,,
2,老爸,暑假要不要考虑去你妈老家看看，你应该还没去过吧。,,,,,
3,月,……,,,,,
4,,我没有做声，只是点了点头默许。,,,,,
5,,于是老爸连夜整理好了行李，第二天吃过早饭后就拉着我出发。,,,,,
6,,看着窗外的景色由城市的高楼大厦，变成低矮平房，最后被自然景色所取代，我感到有几分新奇。打记事起就生活在大城市里的我哪里见过这番景象，学校里组织的郊游也不过是去一些公园罢了，哪里见过这番景色。,,,,,
7,,汽车飞驰在路上，将一切都抛在后方。望着窗外渐渐模糊的景色，我靠在座椅上进入了梦乡。,,,,,
8,老爸,到了，快起来。,,,,,
9,月,嗯？……,,,,,
10,,老爸打开车门，用力扯了扯我的衣领，而我还沉浸在睡梦中，享受着梦中的美好事物。,,,,,
11,,我揉了揉惺忪的睡眼，有些迷糊地走下车。,,,,,
12,,这时已是晚上，天空中布满繁星，挂着明月。小院中两位老人躺在藤椅上，用手中的蒲扇扇着风，感受着自然的气息。,,,,,
13,,估摸着时间，我感觉自己喜欢的动画片快播放了，便在老爸的介绍下草草打了招呼后就冲向屋内。推开卧室那扇有些陈旧的门，我才发现里面已经有了一个穿着小裙子的女孩。,,,,,
14,,我有些拘谨地招了招手，对方也学着我回礼，然后稍微挪了一下身子，为我腾出一片空位。,,,,,
15,,我们就这样并肩坐着。,,,,,
16,,阵阵蝉鸣，是仲夏的歌声；点点萤火，是夏夜的明灯。,,,,,
17,,偶尔会有晚风从窗外吹进，带来了花与草的芬芳。,,,,,
18,,电视并没有像我想的那样有动画片播放，取而代之的只有雪花般的白点在不断闪烁。,,,,,
19,,在一阵沉默过后，她开口了：,,,,,
20,？？？,那个……,,,,,
21,,小女孩在身上捣鼓一阵后，掏出几颗水果糖。,,,,,
22,？？？,你要吃吗？,,,,,
23,,我粗乱地剥开包装，一口吞下，甜味儿瞬间在嘴里散开——是我最爱的西瓜味的糖果——接着从包里掏出一本小说，既然没有我爱看的动画片，干脆看会儿小说打发时间。,,,,,
24,,这时女孩将双手放在怀中，一双水灵的眼睛直勾勾地盯着我看。,,,,,
25,,第一次来到小城镇的我，没有在这里找到家的味道。随意地翻阅过小说后，发现我实在是看不进去，便将小说往身旁一扔，整个人倒在床上。,,,,,
26,？？？,那个……,,,,,
27,,她将手搭在我的肩上，轻声问道：,,,,,
28,？？？,我可以看吗？,,,,,
29,,随便你吧，别折损就行。,,,,,
30,,于是她便捡起我的小说，在昏黄的灯光下翻阅起来。,,,,,
31,,安静的房间里，响起了一阵喃喃的阅读声。,,,,,
32,,快到睡觉的时间时，我忽的想起了洗澡的事。于是准备好衣服准备去洗澡，却不料没有发现热水器。,,,,,
33,？？？,忘了和你说了，这边都是烧水洗澡。,,,,,
34,月,为什么不早点说？,,,,,
35,？？？,或许怕你接受不了？,,,,,
36,,我有些无语，倒也不是接受不了用桶接水洗，只是在大城市里住习惯后可能有些不太习惯这种洗法。,,,,,
37,,我只好去灶上烧了点水，打算勉强洗个脚。,,,,,
38,,然后我去灶屋，笨拙地添柴加火烧开了水，之后又兑了一些冷水，将洗脚水调到刚刚合适的温度。,,,,,
39,,女孩脱下小小的凉鞋，一双柔嫩的脚尖刚碰到水面，又猛地收了回来。,,,,,
40,？？？,好烫……,,,,,
41,月,烫吗？,,,,,
42,,我也将脚放了下去，一开始确实有些烫，但缓慢的将脚沉到底后不动，好像也没那么烫了。,,,,,
43,,我便让她慢慢地将脚放进去，沉到底后不要乱动。女孩乖巧的点了点头，按我说的照做。双脚沉底的过程中，我看见她那稚嫩的脸由粉白渐渐地变红了起来，终于在双脚沉底后，停止了加深,,,,,
44,？？？,怎么样？现在还烫么？,,,,,
45,月,好像没有那么烫了？,,,,,
46,,女孩又掏出小说，缓缓地翻阅起来。,,,,,
47,,昏黄的灯光下，两双脚在木桶中清晰可见。外面又传来电视的喧闹声，似乎像是肥皂剧。我呆呆地将头仰起，想着今天发生的事。,,,,,
48,,擦过湿漉的双脚后，我拿起手机向房间里走去。推开窗，打开风扇，一股清凉感扑面而来。,,,,,
49,,我钻入被窝中，感受着手机带给我的快乐。,,,,,
50,,老实说，我没有洁癖，但是在陌生的环境中总觉得有这样或那样的不舒服。,,,,,
51,,"躺在床上，我有点怀念家里的空调。想着""既来之则安之""这样的话语，我翻了个身继续看手机。",,,,,
52,,外面突然传来衣物摩擦的声音，我侧瞟一眼，发现那个女孩不知何时已经脱去了外面的衣服，挤上了床。,,,,,
53,,或许因为我们那时都还小，家长也没说什么，就让我们睡在了一起。,,,,,
54,,对面稍微挤了过来，气温有些升高。,,,,,
55,？？？,那个……,,,,,
56,月,嗯？,,,,,
57,岚,岚……我的名字,,,,,
58,月,月,,,,,
59,岚,那本书，我还能再看吗？,,,,,
60,月,可以,,,,,
61,,接着，对方便没有再说话，蝉鸣又一次占领了房间。,,,,,
62,,过了会儿，对方终于鼓起勇气：,,,,,
63,岚,大城市，是不是有很高的房子,,,,,
64,月,有,,,,,
65,岚,是不是有很多车,,,,,
66,月,是,,,,,
67,岚,是不是随时都可以洗热水澡,,,,,
68,月,是的吧，应该,,,,,
69,岚,嗯,,,,,
70,,我放下手机，感觉肩膀那头有点痒，可能是压到了头发的缘故。,,,,,
71,,相触的肌肤是清凉的，风扇隆隆地响着，吹散了空气中潮热和不安的气息。,,,,,
72,月,我明天也在,,,,,
73,岚,嗯,,,,,
