,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
1,,时间来到初三这个关键的时间节点，人人都想考一个好高中，便开始努力的学习。而我和那时一样，成绩仍然名列前茅，在全市前一百名。照这个成绩，至少本市的名校我可以随便挑。,,,,,
2,,和往常一样，我的圈子还是那样的小。大部分时候，我依旧是孤身一人，只不过手机响的更加频繁。,,,,,
3,,你今天在干什么呢？,,,,,
4,,学校的食堂越来越难吃了,,,,,
5,,今天上的课好难,,,,,
6,,我成绩在班上进步了,,,,,
7,,……,,,,,
8,,岚每天都会发来这些短信，有时是早上，有时是傍晚。不需要回复，仅仅就像是报告一样陈述发生的事情。,,,,,
9,,都是一些细枝末节的琐事。,,,,,
10,,四季轮转，,,,,,
11,,冬去春来，,,,,,
12,,盛夏忽至，,,,,,
13,,我们成了男女朋友。,,,,,
14,月,你高中，想考哪儿？,,,,,
15,,有一天，我不经意的问道。,,,,,
16,月,不太清楚,,,,,
17,,没有目标啊,,,,,
18,,随波逐流吧，走到哪儿是哪儿,,,,,
19,,好想旅行,,,,,
20,,岚在键盘上敲出这几个字，稍作思考后，还是没有发过去。,,,,,
21,,翻开手机相册，里面大都是和月在一起玩耍时留下的照片，剩下的便是天空与云。,,,,,
22,,岚抬头望向天空，今天的火烧云，有如波浪一般的，有如薄雾一般的，绚丽夺目。,,,,,
23,,明明是站在同一片天空下，仰望同一片天空，怎么感觉彼此之间的距离那么远呢。,,,,,
24,,岚叹了口气，靠近座椅后缓缓坐下。闭上双眼，感受着最后一丝盛夏的气息。,,,,,
25,,好想见你,,,,,
26,,岚觉得有些肉麻，于是删掉了。,,,,,
27,,你在干什么？,,,,,
28,,又觉得有些没话找话，再一次迅速的删掉了。,,,,,
29,,她最终放弃了，于是盘起双腿，将头埋在大腿间，然后拨通了那个号码。,,,,,
30,,喂？,,,,,
31,,怎么了岚？,,,,,
32,,岚听到了有车驶过的声音，对面似乎刚放学，正走在回家的路上。,,,,,
33,,就是想你，想见你了,,,,,
34,,我似乎有点被震撼到，手机差点滑落到地上。,,,,,
35,,我得看看最近有没有时间,,,,,
36,,嗯,,,,,
37,,要是我这边不会放假怎么办,,,,,
38,,我感觉我这边也不会放假,,,,,
39,,许久沉默。,,,,,
40,,你知道视频通话吗？,,,,,
41,,嗯……？,,,,,
42,,手机里新出的功能,,,,,
43,,我试一下,,,,,
44,,没事,,,,,
45,岚,听见你的声音我也很开心,,,,,
46,,"岚在长椅上躺成一个""大""字，在七彩的云霞下，侧过头，讲道：",,,,,
47,岚,我们再多聊一会儿吧,,,,,
48,月,好啊,,,,,
49,,我抬起头，望着即将沉到地平线之下的夕阳，平静地回答道。,,,,,
50,月,都初三了，我成绩还没提上去,,,,,
51,,再努力点,,,,,
52,,我还是难以和周围的同学打成一片,,,,,
53,,没事我也一样,,,,,
54,,商店里的干脆面似乎没得卖了,,,,,
55,,那小玩具也买不到了,,,,,
56,,太阳落山变得越来越早了,,,,,
57,,夏天已经过去了啊,,,,,
58,,晚上的风变得更凉了,,,,,
59,,嗯,,,,,
60,,我朝天空伸出手，似乎想要抓住那一阵清风，却总是抓了个空。,,,,,
61,,夜晚，几乎是在本能的驱使下，我来到了河边。,,,,,
62,,对岸是繁华的商业大厦，霓虹灯在四处闪耀，照亮了夜空。,,,,,
63,,我这边能看到很多星星,,,,,
64,,电话的另一段，传来岚的声音。,,,,,
